pc_timestamp,arduino_ms,node_position,activity,ax,ay,az,gx,gy,gz,rssi
1787066593737,377831,Knee,walk,-0.128344,0.984296,-0.016104,-0.42,-7.35,-1.68,-54
1787066593737,377848,Knee,walk,-0.134688,0.98576,-0.016104,-0.63,-9.66,-1.75,-54
1787066593737,377879,Knee,walk,-0.116144,0.988688,-0.009272,-0.42,-11.83,-1.89,-54
1787066593737,377896,Knee,walk,-0.108824,0.986248,-0.002928,-0.63,-11.55,-2.1,-54
1787066593737,377913,Knee,walk,-0.106872,0.986736,0.001464,-0.77,-10.5,-2.45,-54
1787066593737,377930,Knee,walk,-0.109312,0.987712,0.000976,-0.98,-9.24,-2.87,-54
1787066593737,377947,Knee,walk,-0.108824,0.987712,0.001464,-1.19,-8.54,-3.29,-54
1787066593737,377978,Knee,walk,-0.105896,0.987224,-0.000976,-1.26,-7.84,-3.85,-54
1787066593737,377995,Knee,walk,-0.10492,0.9882,0.006344,-1.19,-8.12,-4.27,-54
1787066593737,378012,Knee,walk,-0.106384,0.98576,0.010248,-1.19,-8.26,-4.27,-54
1787066594098,378191,Knee,walk,-0.04636,0.982344,0.097112,-0.28,-4.34,-16.31,-54
1787066594098,378222,Knee,walk,-0.005368,0.986248,0.174704,0.7,-8.75,-21.07,-54
1787066594098,378239,Knee,walk,-0.001464,0.976488,0.194224,2.17,-10.78,-24.99,-54
1787066594098,378256,Knee,walk,-0.023424,0.968192,0.218136,6.44,-11.55,-27.09,-54
1787066594098,378273,Knee,walk,-0.074664,0.968192,0.210816,10.71,-13.44,-30.87,-54
1787066594098,378304,Knee,walk,-0.220088,0.977952,0.12932,15.96,-15.19,-35.63,-54
1787066594098,378321,Knee,walk,-0.303536,1.013576,0.05612,20.37,-21.7,-36.61,-54
1787066594098,378338,Knee,walk,-0.325008,1.052616,0.005368,22.89,-29.4,-36.19,-54
1787066594098,378355,Knee,walk,-0.29768,1.089704,-0.019032,23.8,-35.84,-34.44,-54
1787066594098,378372,Knee,walk,-0.268888,1.086776,-0.020984,23.1,-37.59,-31.22,-54
1787066594472,378553,Knee,walk,-0.233752,0.940376,-0.023912,-42.07,-3.64,65.87,-54
1787066594472,378584,Knee,walk,-0.266936,0.955992,0.00732,-49.49,-5.32,73.92,-54
1787066594472,378601,Knee,walk,-0.264984,0.962824,0.02928,-51.03,-13.37,77.35,-54
1787066594472,378618,Knee,walk,-0.25132,0.965752,0.040504,-52.01,-23.8,78.68,-54
1787066594472,378635,Knee,walk,-0.228872,0.950624,0.064416,-51.59,-28.91,78.89,-54
1787066594472,378666,Knee,walk,-0.157624,0.934032,0.11224,-41.65,-49.28,74.69,-54
1787066594472,378683,Knee,walk,-0.096136,0.937448,0.126392,-39.9,-52.36,70.91,-54
1787066594472,378700,Knee,walk,-0.023912,0.925248,0.142984,-34.65,-54.18,68.18,-54
1787066594472,378716,Knee,walk,0.05612,0.926224,0.162016,-29.4,-50.89,59.71,-54
1787066594472,378747,Knee,walk,0.142008,0.913048,0.192272,-21.42,-37.52,41.02,-54
1787066594833,378926,Knee,walk,0.5002,1.148752,0.230336,26.74,5.25,-8.26,-54
1787066594833,378957,Knee,walk,-0.00732,0.985272,0.26352,30.45,78.12,-22.47,-54
1787066594833,378974,Knee,walk,-0.28548,0.948672,0.15616,29.33,73.99,-22.4,-54
1787066594833,378991,Knee,walk,-0.264496,0.907192,0.118584,28.35,53.76,-23.38,-54
1787066594833,379008,Knee,walk,-0.145912,0.991616,-0.017568,31.22,33.88,-21.49,-54
1787066594833,379039,Knee,walk,-0.028792,0.971608,-0.032696,27.79,11.83,-11.27,-54
1787066594833,379056,Knee,walk,-0.084912,0.977464,0.00732,28.35,2.17,-8.75,-54
1787066594833,379073,Knee,walk,-0.121512,1.00284,0.01464,30.17,-9.66,-10.78,-54
1787066594833,379090,Knee,walk,-0.086864,1.012112,0.018056,29.4,-17.29,-12.46,-54
1787066594833,379107,Knee,walk,0.024888,0.998448,0.030744,29.33,-17.29,-12.81,-54
1787066595193,379286,Knee,walk,-0.110288,0.986736,-0.098088,21,-12.25,-12.39,-58
1787066595193,379317,Knee,walk,-0.108336,1.000888,-0.108824,17.29,-19.04,-10.43,-58
1787066595193,379334,Knee,walk,-0.081496,0.994544,-0.096624,16.59,-19.67,-10.43,-58
1787066595193,379351,Knee,walk,-0.057096,1.004792,-0.084424,14.77,-20.02,-10.99,-58
1787066595193,379368,Knee,walk,-0.042944,1.000888,-0.084424,15.12,-20.37,-11.41,-58
1787066595193,379399,Knee,walk,-0.008784,0.983808,-0.047824,14.21,-22.75,-12.88,-58
1787066595193,379416,Knee,walk,-0.003416,0.9882,-0.04392,14.35,-22.4,-13.72,-58
1787066595193,379433,Knee,walk,-0.011224,0.991128,-0.048312,13.58,-21.42,-14.35,-58
1787066595193,379449,Knee,walk,-0.015616,0.984784,-0.049776,13.44,-19.39,-15.26,-58
1787066595193,379467,Knee,walk,-0.038064,0.976976,-0.052216,13.37,-17.43,-15.33,-58
1787066595556,379646,Knee,walk,-0.165432,0.972584,-0.079056,6.37,-7.42,-13.37,-58
1787066595556,379677,Knee,walk,-0.144936,0.977464,-0.088328,6.93,-9.59,-13.93,-58
1787066595556,379694,Knee,walk,-0.141032,0.978928,-0.091744,6.79,-10.36,-14.77,-58
1787066595556,379711,Knee,walk,-0.14152,0.974048,-0.100528,7.42,-10.99,-15.33,-58
1787066595556,379728,Knee,walk,-0.128832,0.981368,-0.094672,7.21,-11.9,-16.52,-58
1787066595556,379759,Knee,walk,-0.083936,0.987224,-0.067832,8.12,-13.51,-19.39,-58
1787066595556,379776,Knee,walk,-0.059536,0.962336,-0.061488,8.75,-14.07,-21.49,-58
1787066595556,379793,Knee,walk,-0.057096,0.974536,-0.076616,10.5,-12.11,-23.94,-58
1787066595556,379810,Knee,walk,-0.094184,0.977464,-0.090768,9.94,-9.17,-26.25,-58
1787066595556,379827,Knee,walk,-0.119072,0.975024,-0.100528,10.01,-7.98,-28,-58
1787066595916,380007,Knee,walk,-0.09272,1.066768,0.14396,19.81,11.76,-64.19,-58
1787066595916,380038,Knee,walk,-0.203496,1.091168,0.155184,23.31,3.78,-71.12,-58
1787066595916,380055,Knee,walk,-0.209352,1.044808,0.173728,26.39,0.84,-75.53,-58
1787066595916,380073,Knee,walk,-0.240584,1.018944,0.176656,30.66,1.19,-80.29,-58
1787066595916,380090,Knee,walk,-0.311832,0.953064,0.186904,33.04,1.26,-83.02,-58
1787066595916,380120,Knee,walk,-0.421144,0.909632,0.048312,52.57,-22.54,-88.97,-58
1787066595916,380137,Knee,walk,-0.431392,0.980392,-0.027816,52.92,-31.01,-87.01,-58
1787066595916,380154,Knee,walk,-0.369416,0.996008,-0.13176,50.54,-50.82,-84.07,-58
1787066595916,380171,Knee,walk,-0.320616,1.03944,-0.205448,49.07,-50.54,-77.42,-58
1787066595916,380188,Knee,walk,-0.335744,1.018944,-0.240096,46.48,-38.5,-74.48,-58
1787066596277,380368,Knee,walk,-0.549,0.665144,-0.304512,-44.87,9.1,64.75,-75
1787066596277,380399,Knee,walk,-0.593408,0.703696,-0.311832,-58.31,32.06,88.41,-75
1787066596277,380416,Knee,walk,-0.654408,0.689544,-0.330864,-71.33,41.16,102.34,-75
1787066596277,380433,Knee,walk,-0.706136,0.663192,-0.357704,-82.67,40.67,114.45,-75
1787066596277,380450,Knee,walk,-0.717848,0.670024,-0.359168,-85.82,32.06,126.21,-75
1787066596277,380481,Knee,walk,-0.67588,0.67832,-0.296704,-102.13,20.86,148.12,-75
1787066596277,380498,Knee,walk,-0.661728,0.689544,-0.291336,-104.65,3.29,154.21,-75
1787066596277,380515,Knee,walk,-0.60268,0.748104,-0.267912,-104.79,-7.07,157.57,-75
1787066596277,380532,Knee,walk,-0.526552,0.803248,-0.252784,-103.67,-25.69,164.01,-75
1787066596277,380549,Knee,walk,-0.444568,0.835944,-0.223992,-101.64,-41.51,168.49,-75
1787066596636,380730,Knee,walk,0.243024,0.87108,0.349408,-12.81,6.65,34.44,-75
1787066596636,380761,Knee,walk,0.289872,0.889136,0.35868,7.63,10.71,1.96,-75
1787066596636,380778,Knee,walk,0.29524,0.870592,0.33184,20.16,22.12,-20.23,-75
1787066596636,380794,Knee,walk,0.219112,0.909632,0.244976,33.39,38.08,-41.44,-75
1787066596636,380811,Knee,walk,0.022448,1.024312,0.10004,38.36,53.69,-53.27,-75
1787066596636,380842,Knee,walk,0.071248,1.155096,0.260104,14.21,30.59,-21.07,-75
1787066596636,380859,Knee,walk,0.24888,0.937936,0.424072,20.86,46.41,-23.1,-75
1787066596636,380876,Knee,walk,0.062464,1.036024,0.275232,31.78,27.09,-23.38,-75
1787066596636,380893,Knee,walk,-0.013176,1.195112,0.210816,34.23,12.18,-32.27,-75
1787066596636,380910,Knee,walk,0.225456,1.160464,0.160064,39.69,18.9,-35.42,-75
1787066596997,381087,Knee,walk,-0.001952,0.986248,-0.020496,31.08,-2.24,-20.3,-75
1787066596997,381118,Knee,walk,0.039528,0.988688,-0.066856,26.6,12.32,-19.39,-75
1787066596997,381135,Knee,walk,0.016592,0.97844,-0.071736,25.62,15.47,-19.25,-75
1787066596997,381152,Knee,walk,-0.06588,0.994544,-0.098576,24.99,8.54,-19.25,-75
1787066596997,381169,Knee,walk,-0.099064,0.998936,-0.12688,23.52,-6.3,-18.34,-75
1787066596997,381200,Knee,walk,-0.045384,1.001376,-0.1098,23.59,-21.7,-19.18,-75
1787066596997,381217,Knee,walk,-0.032208,1.004304,-0.101504,23.03,-19.46,-19.18,-75
1787066596997,381234,Knee,walk,-0.030256,0.994544,-0.083448,21.7,-17.15,-19.67,-75
1787066596997,381251,Knee,walk,-0.060512,0.974048,-0.056608,21.84,-13.51,-20.16,-75
1787066596997,381268,Knee,walk,-0.121024,0.981368,-0.064416,21.14,-14,-19.81,-75
1787066597357,381448,Knee,walk,-0.100528,0.98576,-0.095648,13.44,-15.61,-19.32,-75
1787066597357,381478,Knee,walk,-0.1098,0.976,-0.093696,13.3,-17.08,-20.3,-75
1787066597357,381496,Knee,walk,-0.128832,0.979416,-0.093208,13.44,-16.31,-20.58,-75
1787066597357,381512,Knee,walk,-0.154208,0.97356,-0.091744,13.09,-15.68,-20.79,-75
1787066597357,381529,Knee,walk,-0.132736,0.975024,-0.102968,12.32,-14.49,-21.42,-75
1787066597357,381560,Knee,walk,-0.113216,0.979416,-0.10004,12.32,-9.45,-23.31,-75
1787066597357,381577,Knee,walk,-0.118096,0.968192,-0.079544,11.76,-8.82,-24.36,-75
1787066597357,381594,Knee,walk,-0.108824,0.9638,-0.089792,14.07,-10.08,-26.74,-75
1787066597357,381611,Knee,walk,-0.083936,0.982344,-0.098088,14.42,-10.22,-28,-75
1787066597357,381628,Knee,walk,-0.062464,0.982344,-0.113704,14.21,-10.57,-30.31,-75
1787066597718,381807,Knee,walk,-0.119072,1.127768,0.063928,22.82,-11.69,-64.12,-74
1787066597718,381838,Knee,walk,-0.203984,1.078968,0.103456,22.68,-2.66,-70.14,-74
1787066597718,381855,Knee,walk,-0.282064,1.008208,0.123952,25.34,-6.51,-73.57,-74
1787066597718,381872,Knee,walk,-0.343552,0.929152,0.142984,29.82,-13.09,-77.77,-74
1787066597718,381889,Knee,walk,-0.398208,0.860344,0.16104,36.82,-23.8,-82.6,-74
1787066597718,381920,Knee,walk,-0.471408,0.859368,0.105896,52.36,-51.1,-86.52,-74
1787066597718,381937,Knee,walk,-0.443104,0.945256,-0.001464,56,-77,-84,-74
1787066597718,381954,Knee,walk,-0.396256,1.043344,-0.110776,52.64,-94.29,-81.41,-74
1787066597718,381971,Knee,walk,-0.298168,1.09556,-0.14396,49.35,-75.11,-73.64,-74
1787066597718,381988,Knee,walk,-0.264008,1.097512,-0.176168,43.26,-74.97,-71.54,-74
1787066598079,382168,Knee,walk,-0.609024,0.642696,-0.299632,-36.54,-22.75,60.69,-74
1787066598079,382198,Knee,walk,-0.554856,0.61976,-0.228384,-58.8,15.47,87.92,-74
1787066598079,382216,Knee,walk,-0.55388,0.640256,-0.2318,-62.16,24.5,91.91,-74
1787066598079,382232,Knee,walk,-0.600728,0.63196,-0.2562,-70.91,39.9,100.03,-74
1787066598079,382249,Knee,walk,-0.635864,0.6588,-0.281576,-79.52,46.48,106.26,-74
1787066598079,382280,Knee,walk,-0.57096,0.762744,-0.237168,-92.26,54.32,124.18,-74
1787066598079,382297,Knee,walk,-0.657336,0.78324,-0.262056,-99.26,47.11,135.45,-74
1787066598079,382314,Knee,walk,-0.730536,0.833992,-0.284504,-99.47,6.23,137.62,-74
1787066598079,382331,Knee,walk,-0.66124,0.852536,-0.244,-97.3,-33.04,140.21,-74
1787066598079,382348,Knee,walk,-0.420656,0.882792,-0.194712,-94.99,-43.82,159.53,-74
1787066598436,382528,Knee,walk,0.096624,0.83448,0.28792,-21.35,-55.09,82.11,-74
1787066598436,382559,Knee,walk,0.223016,0.903776,0.23668,6.3,-41.79,52.29,-74
1787066598436,382576,Knee,walk,0.274744,0.9394,0.220576,10.08,-36.82,30.8,-74
1787066598436,382593,Knee,walk,0.36112,0.967216,0.241072,13.37,-30.8,19.88,-74
1787066598436,382610,Knee,walk,0.38064,0.94672,0.29524,16.17,-11.06,-1.26,-74
1787066598436,382641,Knee,walk,0.327448,0.972096,0.306952,25.76,20.09,-26.88,-74
1787066598436,382658,Knee,walk,0.28304,1.036512,0.245952,27.23,49,-43.61,-74
1787066598436,382675,Knee,walk,0.033672,1.2078,0.176168,22.05,65.45,-41.51,-74
1787066598436,382692,Knee,walk,0.198128,1.13704,0.376736,3.22,61.39,-28,-74
1787066598436,382709,Knee,walk,0.32696,1.014552,0.47336,14.63,95.83,-31.85,-74
1787066598795,382884,Knee,walk,-0.172264,0.95404,-0.064416,30.8,3.85,-23.66,-66
1787066598795,382915,Knee,walk,-0.186416,1.00284,-0.076616,29.61,-9.52,-19.6,-66
1787066598795,382932,Knee,walk,-0.076616,0.995032,-0.04392,27.23,-11.69,-18.9,-66
1787066598795,382949,Knee,walk,0.01708,0.98088,-0.045384,25.97,-6.58,-16.87,-66
1787066598795,382966,Knee,walk,0.046848,0.994544,-0.077104,22.26,6.09,-15.4,-66
1787066598795,382997,Knee,walk,-0.067832,0.99064,-0.088328,19.81,9.8,-15.19,-66
1787066598795,383014,Knee,walk,-0.143472,1.016992,-0.146888,19.39,0.63,-14.35,-66
1787066598795,383031,Knee,walk,-0.128832,1.003816,-0.143472,16.52,-13.3,-13.23,-66
1787066598795,383048,Knee,walk,-0.095648,0.994544,-0.121024,16.73,-21.42,-13.3,-66
1787066598795,383065,Knee,walk,-0.042944,1.006744,-0.106384,16.8,-22.33,-13.58,-66
1787066599158,383244,Knee,walk,-0.134688,0.980392,-0.100528,9.38,-12.6,-16.45,-66
1787066599158,383275,Knee,walk,-0.152256,0.983808,-0.07808,8.54,-18.69,-16.31,-66
1787066599158,383292,Knee,walk,-0.114192,0.98332,-0.069784,8.82,-19.46,-15.96,-66
1787066599158,383309,Knee,walk,-0.080032,0.991128,-0.07564,8.26,-17.36,-16.66,-66
1787066599158,383326,Knee,walk,-0.081008,0.988688,-0.076616,8.12,-13.3,-16.94,-66
1787066599158,383357,Knee,walk,-0.149816,0.964776,-0.066368,9.66,-9.87,-18.76,-66
1787066599158,383374,Knee,walk,-0.14396,0.977464,-0.060024,10.08,-12.18,-19.88,-66
1787066599158,383391,Knee,walk,-0.103456,0.976,-0.061976,10.08,-13.79,-21.42,-66
1787066599158,383408,Knee,walk,-0.085888,0.977464,-0.067344,11.06,-13.44,-23.17,-66
1787066599158,383424,Knee,walk,-0.05856,0.983808,-0.081984,11.41,-13.58,-24.5,-66
1787066599519,383605,Knee,walk,-0.069296,0.997472,0.060024,16.45,-15.05,-62.02,-66
1787066599519,383636,Knee,walk,-0.271816,1.028704,0.122488,24.64,-15.75,-69.23,-66
1787066599519,383653,Knee,walk,-0.327448,1.062376,0.11956,28.07,-25.62,-73.64,-66
1787066599519,383670,Knee,walk,-0.418216,1.112152,0.1464,28.91,-32.34,-74.55,-66
1787066599519,383687,Knee,walk,-0.398208,1.10288,0.176656,32.83,-42.21,-77.07,-66
1787066599519,383718,Knee,walk,-0.3172,1.052128,0.161528,38.71,-49,-84.49,-66
1787066599519,383735,Knee,walk,-0.266936,1.098,0.080032,42,-50.47,-84.07,-66
1787066599519,383752,Knee,walk,-0.233752,1.084824,0.055144,37.45,-50.75,-81.55,-66
1787066599519,383769,Knee,walk,-0.28792,1.01992,0.008784,35.21,-38.57,-75.39,-66
1787066599519,383786,Knee,walk,-0.299144,0.99552,-0.081496,34.09,-23.66,-66.64,-66
1787066599880,383965,Knee,walk,-0.603168,0.628544,-0.20496,-20.02,-23.17,53.62,-68
1787066599880,383996,Knee,walk,-0.584136,0.664168,-0.18056,-26.95,-7.63,71.33,-68
1787066599880,384014,Knee,walk,-0.593408,0.686128,-0.18788,-33.81,3.5,83.02,-68
1787066599880,384031,Knee,walk,-0.610488,0.70028,-0.197152,-38.29,5.88,93.17,-68
1787066599880,384048,Knee,walk,-0.672464,0.764696,-0.25132,-44.24,-0.35,96.25,-68
1787066599880,384078,Knee,walk,-0.614392,0.830088,-0.229848,-52.92,-38.29,111.3,-68
1787066599880,384095,Knee,walk,-0.488488,0.845704,-0.1708,-53.41,-41.65,113.82,-68
1787066599880,384112,Knee,walk,-0.379664,0.911584,-0.121512,-54.32,-43.12,116.97,-68
1787066599880,384129,Knee,walk,-0.288408,0.961848,-0.044896,-54.11,-35.49,117.46,-68
1787066599880,384146,Knee,walk,-0.256688,0.951112,0.011712,-50.96,-20.02,115.92,-68
1787066600238,384326,Knee,walk,-0.057584,0.898896,0.164944,-31.36,-40.11,88.34,-68
1787066600238,384357,Knee,walk,-0.005856,0.913536,0.181536,-23.17,-38.85,73.57,-68
1787066600238,384373,Knee,walk,0.026352,0.925736,0.157136,-16.24,-42.07,60.62,-68
1787066600238,384391,Knee,walk,0.086864,0.955504,0.116144,-12.11,-46.27,47.32,-68
1787066600238,384408,Knee,walk,0.223016,0.964288,0.125904,-12.11,-43.68,31.5,-68
1787066600238,384439,Knee,walk,0.255712,0.90524,0.260104,-8.33,-14.63,5.53,-68
1787066600238,384456,Knee,walk,0.23424,0.8906,0.271816,0.56,1.4,-12.74,-68
1787066600238,384473,Knee,walk,0.15128,0.892552,0.262056,5.46,7.35,-21,-68
1787066600238,384490,Knee,walk,0.064416,0.892552,0.225944,14.21,11.55,-35,-68
1787066600238,384507,Knee,walk,-0.013176,0.91744,0.159576,24.57,11.83,-44.59,-68
1787066600601,384684,Knee,walk,-0.16836,0.964288,-0.054656,32.76,50.47,-32.83,-68
1787066600601,384715,Knee,walk,-0.29036,0.958432,-0.081496,34.16,9.52,-24.99,-68
1787066600601,384732,Knee,walk,-0.269864,0.979416,-0.085888,32.97,-10.08,-22.05,-68
1787066600601,384748,Knee,walk,-0.235704,0.981368,-0.085888,32.2,-19.95,-19.39,-68
1787066600601,384765,Knee,walk,-0.145424,0.99064,-0.084912,31.36,-18.48,-18.34,-68
1787066600601,384796,Knee,walk,-0.084424,0.981368,-0.086376,26.32,-0.42,-14.7,-68
1787066600601,384813,Knee,walk,-0.070272,0.9882,-0.061488,24.57,2.17,-13.93,-68
1787066600601,384830,Knee,walk,-0.054168,0.97844,-0.047336,22.4,4.13,-12.67,-68
1787066600601,384847,Knee,walk,-0.049288,0.991128,-0.068808,21,1.75,-11.34,-68
1787066600601,384864,Knee,walk,-0.049288,0.994056,-0.081984,20.02,-5.18,-10.57,-68
1787066601015,385099,Knee,walk,-0.123952,0.993568,-0.150304,17.99,-41.58,-13.37,-62
1787066601015,385130,Knee,walk,-0.08052,0.981368,-0.128832,14.63,-40.81,-12.88,-62
1787066601015,385147,Knee,walk,-0.072224,0.994544,-0.113704,13.86,-40.39,-13.3,-62
1787066601015,385164,Knee,walk,-0.060024,0.992104,-0.110288,13.37,-40.04,-14.49,-62
1787066601015,385181,Knee,walk,-0.027328,0.972096,-0.10248,13.37,-39.55,-15.05,-62
1787066601015,385212,Knee,walk,-0.010736,0.976976,-0.083936,14.14,-33.88,-17.85,-62
1787066601015,385229,Knee,walk,-0.042944,0.97356,-0.071736,13.72,-32.27,-18.34,-62
1787066601015,385246,Knee,walk,-0.060512,0.963312,-0.072224,14.35,-29.4,-19.32,-62
1787066601015,385263,Knee,walk,-0.058072,0.975024,-0.098088,14.56,-25.13,-20.02,-62
1787066601015,385280,Knee,walk,-0.052216,0.971608,-0.113216,13.51,-20.16,-20.3,-62
1787066601378,385460,Knee,walk,-0.203984,0.9638,-0.127368,14.49,-17.5,-29.54,-62
1787066601378,385491,Knee,walk,-0.17812,0.973072,-0.145424,13.86,-20.72,-31.92,-62
1787066601378,385508,Knee,walk,-0.175192,0.969168,-0.157136,14.49,-20.3,-34.09,-62
1787066601378,385525,Knee,walk,-0.172752,0.986736,-0.169824,14.14,-21.7,-36.54,-62
1787066601378,385542,Knee,walk,-0.171288,0.987712,-0.15616,13.65,-22.26,-38.5,-62
1787066601378,385573,Knee,walk,-0.203984,1.000888,-0.106384,15.96,-22.4,-43.82,-62
1787066601378,385590,Knee,walk,-0.2196,1.0126,-0.093696,15.82,-21.07,-46.76,-62
1787066601378,385607,Knee,walk,-0.249368,1.01016,-0.096624,16.73,-20.58,-48.23,-62
1787066601378,385624,Knee,walk,-0.27816,1.037976,-0.10004,19.6,-22.89,-51.24,-62
1787066601378,385641,Knee,walk,-0.305,1.077504,-0.045872,21.07,-27.16,-54.11,-62
1787066601739,385822,Knee,walk,-0.447496,0.982832,-0.220088,56.35,-17.78,-65.1,-62
1787066601739,385853,Knee,walk,-0.577304,0.89548,-0.308416,54.25,-25.06,-56.07,-62
1787066601739,385870,Knee,walk,-0.616832,0.808616,-0.350384,52.5,-28.14,-44.52,-62
1787066601739,385887,Knee,walk,-0.671488,0.75396,-0.400648,50.33,-28.77,-32.48,-62
1787066601739,385904,Knee,walk,-0.708576,0.682224,-0.4148,45.85,-35.7,-20.23,-62
1787066601739,385935,Knee,walk,-0.77592,0.720288,-0.398208,38.64,-45.92,2.1,-62
1787066601739,385952,Knee,walk,-0.810568,0.67344,-0.335744,29.61,-57.12,17.85,-62
1787066601739,385969,Knee,walk,-0.78568,0.686128,-0.296704,11.13,-68.67,42.49,-62
1787066601739,385986,Knee,walk,-0.715896,0.667096,-0.282064,0.98,-66.5,64.96,-62
1787066601739,386003,Knee,walk,-0.6588,0.630984,-0.247904,-12.95,-57.26,72.52,-62
1787066602099,386181,Knee,walk,-0.313784,0.86376,-0.076616,-80.36,-49.7,157.78,-70
1787066602099,386212,Knee,walk,-0.186904,0.916952,-0.02684,-71.96,-19.81,153.51,-70
1787066602099,386229,Knee,walk,-0.272304,0.9272,-0.06832,-69.51,-7,153.09,-70
1787066602099,386246,Knee,walk,-0.334768,0.929152,-0.09028,-73.92,-15.12,150.22,-70
1787066602099,386263,Knee,walk,-0.269864,0.884256,0.007808,-72.45,-36.47,142.73,-70
1787066602099,386294,Knee,walk,-0.132736,0.872544,0.07808,-52.71,-42.91,128.31,-70
1787066602099,386311,Knee,walk,-0.027328,0.883768,0.149328,-43.96,-40.53,116.97,-70
1787066602099,386328,Knee,walk,0.003904,0.909632,0.141032,-30.66,-37.73,102.48,-70
1787066602099,386345,Knee,walk,0.024888,0.923784,0.116632,-26.32,-45.15,83.86,-70
1787066602099,386362,Knee,walk,0.084912,0.94428,0.11956,-19.18,-50.4,73.78,-70
1787066602486,386542,Knee,walk,-0.286944,1.052616,-0.01952,34.3,29.75,-48.58,-70
1787066602486,386573,Knee,walk,0.167872,1.060912,0.315248,20.16,-33.32,-11.13,-70
1787066602486,386590,Knee,walk,0.271328,1.165832,0.242536,29.26,-35.7,-9.52,-70
1787066602486,386607,Knee,walk,0.564128,1.262456,0.210816,32.97,-31.85,-18.41,-70
1787066602486,386624,Knee,walk,0.508496,1.120448,0.397232,24.36,45.36,-31.22,-70
1787066602486,386655,Knee,walk,-0.015616,1.004792,0.01952,34.02,73.64,-36.68,-70
1787066602486,386672,Knee,walk,-0.111264,0.971608,-0.053192,36.96,62.3,-45.01,-70
1787066602486,386689,Knee,walk,-0.241072,0.9272,-0.140544,33.18,42.98,-37.94,-70
1787066602486,386706,Knee,walk,-0.26108,0.903288,-0.144448,33.39,7.84,-28.77,-70
1787066602486,386723,Knee,walk,-0.242048,0.930616,-0.120048,35,-6.79,-24.5,-70
1787066602822,386902,Knee,walk,-0.081008,0.992592,-0.11712,22.4,-18.27,-15.19,-70
1787066602822,386933,Knee,walk,-0.041968,1.011136,-0.084424,24.5,-27.93,-16.8,-70
1787066602822,386950,Knee,walk,-0.03416,0.994544,-0.062952,24.36,-31.57,-17.85,-70
1787066602822,386967,Knee,walk,-0.039528,0.99064,-0.053192,25.06,-34.09,-18.27,-70
1787066602822,386984,Knee,walk,-0.05368,0.981856,-0.043432,23.52,-40.46,-17.15,-70
1787066602822,387015,Knee,walk,-0.031232,0.979416,-0.081496,23.03,-47.18,-0.14,-70
1787066602822,387032,Knee,walk,-0.011224,0.986736,-0.102968,20.65,-45.36,-17.5,-70
1787066602822,387049,Knee,walk,-0.020984,0.972584,-0.111264,20.16,-39.2,-17.71,-70
1787066602822,387066,Knee,walk,-0.069296,0.982344,-0.12688,18.76,-32.48,-17.71,-70
1787066602822,387083,Knee,walk,-0.098088,0.979416,-0.131272,16.52,-29.89,-17.43,-70
1787066603185,387264,Knee,walk,-0.122,0.970144,-0.1342,14.84,-25.55,-19.67,-70
1787066603185,387295,Knee,walk,-0.150792,0.966728,-0.142008,14.42,-24.5,-20.72,-70
1787066603185,387312,Knee,walk,-0.177144,0.959408,-0.1464,14.14,-23.59,-21.28,-70
1787066603185,387329,Knee,walk,-0.183488,0.959408,-0.162504,13.72,-22.89,-21.49,-70
1787066603185,387346,Knee,walk,-0.19276,0.97356,-0.162992,13.51,-22.12,-21.63,-70
1787066603185,387377,Knee,walk,-0.203496,0.968192,-0.15616,12.6,-24.36,-23.31,-70
1787066603185,387394,Knee,walk,-0.194224,0.96624,-0.15616,12.81,-25.76,-23.52,-70
1787066603185,387410,Knee,walk,-0.190808,0.959896,-0.161528,12.39,-27.37,-23.59,-70
1787066603185,387427,Knee,walk,-0.188368,0.94184,-0.1586,12.53,-27.51,-24.36,-70
1787066603185,387444,Knee,walk,-0.196176,0.943304,-0.161528,12.95,-25.9,-25.62,-70
1787066603561,387624,Knee,walk,-0.078568,1.05896,-0.0366,13.37,-4.76,-48.3,-74
1787066603561,387655,Knee,walk,-0.130784,1.0858,0.071248,17.99,2.94,-56.98,-74
1787066603561,387672,Knee,walk,-0.194224,1.035536,0.161528,21.77,-0.7,-62.09,-74
1787066603561,387689,Knee,walk,-0.259616,0.991128,0.214232,28.14,-8.96,-67.27,-74
1787066603561,387706,Knee,walk,-0.282552,0.98332,0.24156,35.77,-17.22,-73.5,-74
1787066603561,387737,Knee,walk,-0.313296,0.922808,0.24156,52.08,-26.74,-84.56,-74
1787066603561,387753,Knee,walk,-0.317688,0.93452,0.183,58.45,-34.16,-87.85,-74
1787066603561,387770,Knee,walk,-0.281576,1.011136,0.043432,65.1,-39.55,-87.5,-74
1787066603561,387787,Knee,walk,-0.224968,1.081408,-0.074664,61.6,-43.82,-83.86,-74
1787066603561,387818,Knee,walk,-0.349408,1.074576,-0.208864,62.65,-31.15,-75.81,-74
1787066603933,387997,Knee,walk,-0.732488,0.603656,-0.363072,-30.8,-39.97,75.67,-74
1787066603933,388028,Knee,walk,-0.641232,0.5612,-0.302072,-53.2,-9.87,105.42,-74
1787066603933,388044,Knee,walk,-0.626592,0.610976,-0.261568,-58.73,0.7,111.23,-74
1787066603933,388061,Knee,walk,-0.66124,0.60024,-0.27572,-70.56,19.25,121.73,-74
